,usd_inr
2000-01-31,45.04166666666663
2000-02-29,45.08333333333337
2000-03-31,45.125
2000-04-30,45.16666666666663
2000-05-31,45.20833333333337
2000-06-30,45.25
2000-07-31,45.29166666666663
2000-08-31,45.33333333333337
2000-09-30,45.375
2000-10-31,45.41666666666663
2000-11-30,45.45833333333337
2000-12-31,45.5
2001-01-31,45.54166666666663
2001-02-28,45.58333333333337
2001-03-31,45.625
2001-04-30,45.66666666666663
2001-05-31,45.70833333333337
2001-06-30,45.75
2001-07-31,45.79166666666663
2001-08-31,45.83333333333337
2001-09-30,45.875
2001-10-31,45.91666666666663
2001-11-30,45.95833333333337
2001-12-31,46.0
2002-01-31,46.04166666666663
2002-02-28,46.08333333333337
2002-03-31,46.125
2002-04-30,46.16666666666663
2002-05-31,46.20833333333337
2002-06-30,46.25
2002-07-31,46.29166666666663
2002-08-31,46.33333333333337
2002-09-30,46.375
2002-10-31,46.41666666666663
2002-11-30,46.45833333333337
2002-12-31,46.5
2003-01-31,46.54166666666663
2003-02-28,46.58333333333337
2003-03-31,46.625
2003-04-30,46.66666666666663
2003-05-31,46.70833333333337
2003-06-30,46.75
2003-07-31,46.79166666666663
2003-08-31,46.83333333333337
2003-09-30,46.875
2003-10-31,46.91666666666663
2003-11-30,46.95833333333337
2003-12-31,47.0
2004-01-31,47.04166666666663
2004-02-29,47.08333333333337
2004-03-31,47.125
2004-04-30,47.16666666666663
2004-05-31,47.20833333333337
2004-06-30,47.25
2004-07-31,47.29166666666663
2004-08-31,47.33333333333337
2004-09-30,47.375
2004-10-31,47.41666666666663
2004-11-30,47.45833333333337
2004-12-31,47.5
2005-01-31,47.54166666666663
2005-02-28,47.58333333333337
2005-03-31,47.625
2005-04-30,47.66666666666663
2005-05-31,47.70833333333337
2005-06-30,47.75
2005-07-31,47.79166666666663
2005-08-31,47.83333333333337
2005-09-30,47.875
2005-10-31,47.91666666666663
2005-11-30,47.95833333333337
2005-12-31,48.0
2006-01-31,48.04166666666663
2006-02-28,48.08333333333337
2006-03-31,48.125
2006-04-30,48.16666666666663
2006-05-31,48.20833333333337
2006-06-30,48.25
2006-07-31,48.29166666666663
2006-08-31,48.33333333333337
2006-09-30,48.375
2006-10-31,48.41666666666663
2006-11-30,48.45833333333337
2006-12-31,48.5
2007-01-31,48.54166666666663
2007-02-28,48.58333333333337
2007-03-31,48.625
2007-04-30,48.66666666666663
2007-05-31,48.70833333333337
2007-06-30,48.75
2007-07-31,48.79166666666663
2007-08-31,48.83333333333337
2007-09-30,48.875
2007-10-31,48.91666666666663
2007-11-30,48.95833333333337
2007-12-31,48.0
2008-01-31,48.166666666666515
2008-02-29,48.333333333333485
2008-03-31,48.5
2008-04-30,48.666666666666515
2008-05-31,48.833333333333485
2008-06-30,49.0
2008-07-31,49.166666666666515
2008-08-31,49.333333333333485
2008-09-30,49.5
2008-10-31,49.666666666666515
2008-11-30,49.833333333333485
2008-12-31,50.0
2009-01-31,50.166666666666515
2009-02-28,50.333333333333485
2009-03-31,50.5
2009-04-30,50.666666666666515
2009-05-31,50.833333333333485
2009-06-30,51.0
2009-07-31,51.166666666666515
2009-08-31,51.333333333333485
2009-09-30,51.5
2009-10-31,51.666666666666515
2009-11-30,51.833333333333485
2009-12-31,52.0
2010-01-31,52.166666666666515
2010-02-28,52.333333333333485
2010-03-31,52.5
2010-04-30,52.666666666666515
2010-05-31,52.833333333333485
2010-06-30,53.0
2010-07-31,53.166666666666515
2010-08-31,53.333333333333485
2010-09-30,53.5
2010-10-31,53.666666666666515
2010-11-30,53.833333333333485
2010-12-31,54.0
2011-01-31,54.166666666666515
